area_number,wiki,area_name,population,area,density
01,"https://en.wikipedia.org/wiki/Rogers_Park,_Chicago",Rogers Park,"55,628",1.84,"30,232.61"
02,"https://en.wikipedia.org/wiki/West_Ridge,_Chicago",West Ridge,"77,122",3.53,"21,847.59"
03,"https://en.wikipedia.org/wiki/Uptown,_Chicago",Uptown,"57,182",2.32,"24,647.41"
04,"https://en.wikipedia.org/wiki/Lincoln_Square,_Chicago",Lincoln Square,"40,494",2.56,"15,817.97"
05,"https://en.wikipedia.org/wiki/North_Center,_Chicago",North Center,"35,114",2.05,"17,128.78"
06,"https://en.wikipedia.org/wiki/Lake_View,_Chicago",Lake View,"103,050",3.12,"33,028.85"
07,"https://en.wikipedia.org/wiki/Lincoln_Park,_Chicago",Lincoln Park,"70,492",3.16,"22,307.59"
08,"https://en.wikipedia.org/wiki/Near_North_Side,_Chicago",Near North Side,"105,481",2.74,"38,496.72"
09,"https://en.wikipedia.org/wiki/Edison_Park,_Chicago",Edison Park,"11,525",1.13,"10,199.12"
10,"https://en.wikipedia.org/wiki/Norwood_Park,_Chicago",Norwood Park,"38,303",4.37,"8,764.99"
11,"https://en.wikipedia.org/wiki/Jefferson_Park,_Chicago",Jefferson Park,"26,216",2.33,"11,251.5"
12,"https://en.wikipedia.org/wiki/Forest_Glen,_Chicago",Forest Glen,"19,596",3.2,"6,123.75"
13,"https://en.wikipedia.org/wiki/North_Park,_Chicago",North Park,"17,559",2.52,"6,967.86"
14,"https://en.wikipedia.org/wiki/Albany_Park,_Chicago",Albany Park,"48,396",1.92,"25,206.25"
15,"https://en.wikipedia.org/wiki/Portage_Park,_Chicago",Portage Park,"63,020",3.95,"15,954.43"
16,"https://en.wikipedia.org/wiki/Irving_Park,_Chicago",Irving Park,"51,940",3.21,"16,180.69"
17,"https://en.wikipedia.org/wiki/Dunning,_Chicago",Dunning,"43,147",3.72,"11,598.66"
18,"https://en.wikipedia.org/wiki/Montclare,_Chicago",Montclare,"14,401",0.99,"14,546.46"
19,"https://en.wikipedia.org/wiki/Belmont_Cragin,_Chicago",Belmont Cragin,"78,116",3.91,"19,978.52"
20,"https://en.wikipedia.org/wiki/Hermosa,_Chicago",Hermosa,"24,062",1.17,"20,565.81"
21,"https://en.wikipedia.org/wiki/Avondale,_Chicago",Avondale,"36,257",1.98,"18,311.62"
22,"https://en.wikipedia.org/wiki/Logan_Square,_Chicago",Logan Square,"71,665",3.59,"19,962.4"
23,"https://en.wikipedia.org/wiki/Humboldt_Park,_Chicago",Humboldt Park,"54,165",3.6,"15,045.83"
24,"https://en.wikipedia.org/wiki/West_Town,_Chicago",West Town,"87,781",4.58,"19,166.16"
25,"https://en.wikipedia.org/wiki/Austin,_Chicago",Austin,"96,557",7.15,"13,504.48"
26,"https://en.wikipedia.org/wiki/West_Garfield_Park,_Chicago",West Garfield Park,"17,433",1.28,"13,619.53"
27,"https://en.wikipedia.org/wiki/East_Garfield_Park,_Chicago",East Garfield Park,"19,992",1.93,"10,358.55"
28,"https://en.wikipedia.org/wiki/Near_West_Side,_Chicago",Near West Side,"67,881",5.69,"11,929.88"
29,"https://en.wikipedia.org/wiki/North_Lawndale,_Chicago",North Lawndale,"34,794",3.21,"10,839.25"
30,"https://en.wikipedia.org/wiki/South_Lawndale,_Chicago",South Lawndale,"71,399",4.59,"15,555.34"
31,"https://en.wikipedia.org/wiki/Lower_West_Side,_Chicago",Lower West Side,"33,751",2.93,"11,519.11"
32,https://en.wikipedia.org/wiki/Chicago_Loop,[11],"42,298",1.65,"25,635.15"
33,"https://en.wikipedia.org/wiki/Near_South_Side,_Chicago",Near South Side,"28,795",1.78,"16,176.97"
34,"https://en.wikipedia.org/wiki/Armour_Square,_Chicago",Armour Square,"13,890",1,"13,890"
35,"https://en.wikipedia.org/wiki/Douglas,_Chicago",Douglas,"20,291",1.65,"12,297.58"
36,"https://en.wikipedia.org/wiki/Oakland,_Chicago",Oakland,"6,799",0.58,"11,722.41"
37,"https://en.wikipedia.org/wiki/Fuller_Park,_Chicago",Fuller Park,"2,567",0.71,"3,615.49"
38,"https://en.wikipedia.org/wiki/Grand_Boulevard,_Chicago",Grand Boulevard,"24,589",1.74,"14,131.61"
39,"https://en.wikipedia.org/wiki/Kenwood,_Chicago",Kenwood,"19,116",1.04,"18,380.77"
40,"https://en.wikipedia.org/wiki/Washington_Park_(community_area),_Chicago",Washington Park,"12,707",1.52,"8,359.87"
41,"https://en.wikipedia.org/wiki/Hyde_Park,_Chicago",Hyde Park,"29,456",1.61,"18,295.65"
42,"https://en.wikipedia.org/wiki/Woodlawn,_Chicago",Woodlawn,"24,425",2.07,"11,799.52"
43,"https://en.wikipedia.org/wiki/South_Shore,_Chicago",South Shore,"53,971",2.93,"18,420.14"
44,"https://en.wikipedia.org/wiki/Chatham,_Chicago",Chatham,"31,710",2.95,"10,749.15"
45,"https://en.wikipedia.org/wiki/Avalon_Park,_Chicago",Avalon Park,"9,458",1.25,"7,566.4"
46,"https://en.wikipedia.org/wiki/South_Chicago,_Chicago",South Chicago,"27,300",3.34,"8,173.65"
47,"https://en.wikipedia.org/wiki/Burnside,_Chicago",Burnside,"2,527",0.61,"4,142.62"
48,"https://en.wikipedia.org/wiki/Calumet_Heights,_Chicago",Calumet Heights,"13,088",1.75,"7,478.86"
49,"https://en.wikipedia.org/wiki/Roseland,_Chicago",Roseland,"38,816",4.82,"8,053.11"
50,"https://en.wikipedia.org/wiki/Pullman,_Chicago",Pullman,"6,820",2.12,"3,216.98"
51,"https://en.wikipedia.org/wiki/South_Deering,_Chicago",South Deering,"14,105",10.9,"1,294.04"
52,"https://en.wikipedia.org/wiki/East_Side,_Chicago",East Side,"21,724",2.98,"7,289.93"
53,"https://en.wikipedia.org/wiki/West_Pullman,_Chicago",West Pullman,"26,104",3.56,"7,332.58"
54,"https://en.wikipedia.org/wiki/Riverdale,_Chicago",Riverdale,"7,262",3.53,"2,057.22"
55,"https://en.wikipedia.org/wiki/Hegewisch,_Chicago",Hegewisch,"10,027",5.24,"1,913.55"
56,"https://en.wikipedia.org/wiki/Garfield_Ridge,_Chicago",Garfield Ridge,"35,439",4.23,"8,378.01"
57,"https://en.wikipedia.org/wiki/Archer_Heights,_Chicago",Archer Heights,"14,196",2.01,"7,062.69"
58,"https://en.wikipedia.org/wiki/Brighton_Park,_Chicago",Brighton Park,"45,053",2.72,"16,563.6"
59,"https://en.wikipedia.org/wiki/McKinley_Park,_Chicago",McKinley Park,"15,923",1.41,"11,292.91"
60,"https://en.wikipedia.org/wiki/Bridgeport,_Chicago",Bridgeport,"33,702",2.09,"16,125.36"
61,"https://en.wikipedia.org/wiki/New_City,_Chicago",New City,"43,628",4.83,"9,032.71"
62,"https://en.wikipedia.org/wiki/West_Elsdon,_Chicago",West Elsdon,"18,394",1.17,"15,721.37"
63,"https://en.wikipedia.org/wiki/Gage_Park,_Chicago",Gage Park,"39,540",2.2,"17,972.73"
64,"https://en.wikipedia.org/wiki/Clearing,_Chicago",Clearing,"24,473",2.55,"9,597.25"
65,"https://en.wikipedia.org/wiki/West_Lawn,_Chicago",West Lawn,"33,662",2.95,"11,410.85"
66,"https://en.wikipedia.org/wiki/Chicago_Lawn,_Chicago",Chicago Lawn,"55,931",3.53,"15,844.48"
67,"https://en.wikipedia.org/wiki/West_Englewood,_Chicago",West Englewood,"29,647",3.15,"9,411.75"
68,"https://en.wikipedia.org/wiki/Englewood,_Chicago",Englewood,"24,369",3.07,"7,937.79"
69,"https://en.wikipedia.org/wiki/Greater_Grand_Crossing,_Chicago",Greater Grand Crossing,"31,471",3.55,"8,865.07"
70,"https://en.wikipedia.org/wiki/Ashburn,_Chicago",Ashburn,"41,098",4.86,"8,456.38"
71,"https://en.wikipedia.org/wiki/Auburn_Gresham,_Chicago",Auburn Gresham,"44,878",3.77,"11,903.98"
72,"https://en.wikipedia.org/wiki/Beverly,_Chicago",Beverly,"20,027",3.18,"6,297.8"
73,"https://en.wikipedia.org/wiki/Washington_Heights,_Chicago",Washington Heights,"25,065",2.86,"8,763.99"
74,"https://en.wikipedia.org/wiki/Mount_Greenwood,_Chicago",Mount Greenwood,"18,628",2.71,"6,873.8"
75,"https://en.wikipedia.org/wiki/Morgan_Park,_Chicago",Morgan Park,"21,186",3.3,"6,420"
76,"https://en.wikipedia.org/wiki/O%27Hare,_Chicago",O'Hare,"13,418",13.34,"1,005.85"
77,"https://en.wikipedia.org/wiki/Edgewater,_Chicago",Edgewater,"56,296",1.74,"32,354.02"
